Year,Units,Series,Type of area,Federal state,GeoCode,Value
2012,Hectre per day,Calculated annual values,,Bavaria,code09,12.0
2013,Hectre per day,Calculated annual values,,Bavaria,code09,13.0
2014,Hectre per day,Calculated annual values,,Bavaria,code09,11.0
2015,Hectre per day,Calculated annual values,,Bavaria,code09,13.0
2016,Hectre per day,Calculated annual values,,Bavaria,code09,10.0
2017,Hectre per day,Calculated annual values,,Bavaria,code09,12.0
2018,Hectre per day,Calculated annual values,,Bavaria,code09,10.0
2019,Hectre per day,Calculated annual values,,Bavaria,code09,11.0
2020,Hectre per day,Calculated annual values,,Bavaria,code09,12.0
2021,Hectre per day,Calculated annual values,,Bavaria,code09,10.0
1996,Hectre per day,Calculated annual values,,Berlin,code11,-0.7
1997,Hectre per day,Calculated annual values,,Berlin,code11,1.4
1998,Hectre per day,Calculated annual values,,Berlin,code11,1.4
1999,Hectre per day,Calculated annual values,,Berlin,code11,1.4
2000,Hectre per day,Calculated annual values,,Berlin,code11,1.0
2001,Hectre per day,Calculated annual values,,Berlin,code11,1.0
2002,Hectre per day,Calculated annual values,,Berlin,code11,1.0
2003,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2004,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2005,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2006,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2007,Hectre per day,Calculated annual values,,Berlin,code11,1.0
2008,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2009,Hectre per day,Calculated annual values,,Berlin,code11,1.0
2010,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2011,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2012,Hectre per day,Calculated annual values,,Berlin,code11,-1.0
2013,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2014,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2015,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2016,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2017,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2018,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2019,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2020,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2021,Hectre per day,Calculated annual values,,Berlin,code11,0.0
1996,Hectre per day,Calculated annual values,,Brandenburg,code12,6.9
1997,Hectre per day,Calculated annual values,,Brandenburg,code12,9.3
1998,Hectre per day,Calculated annual values,,Brandenburg,code12,9.3
1999,Hectre per day,Calculated annual values,,Brandenburg,code12,9.3
2000,Hectre per day,Calculated annual values,,Brandenburg,code12,9.0
2001,Hectre per day,Calculated annual values,,Brandenburg,code12,9.0
2002,Hectre per day,Calculated annual values,,Brandenburg,code12,8.0
2003,Hectre per day,Calculated annual values,,Brandenburg,code12,8.0
2004,Hectre per day,Calculated annual values,,Brandenburg,code12,7.0
2005,Hectre per day,Calculated annual values,,Brandenburg,code12,11.0
2006,Hectre per day,Calculated annual values,,Brandenburg,code12,8.0
2007,Hectre per day,Calculated annual values,,Brandenburg,code12,7.0
2008,Hectre per day,Calculated annual values,,Brandenburg,code12,12.0
2009,Hectre per day,Calculated annual values,,Brandenburg,code12,7.0
2010,Hectre per day,Calculated annual values,,Brandenburg,code12,5.0
2011,Hectre per day,Calculated annual values,,Brandenburg,code12,3.0
2012,Hectre per day,Calculated annual values,,Brandenburg,code12,4.0
2013,Hectre per day,Calculated annual values,,Brandenburg,code12,11.0
2014,Hectre per day,Calculated annual values,,Brandenburg,code12,3.0
2015,Hectre per day,Calculated annual values,,Brandenburg,code12,2.0
2016,Hectre per day,Calculated annual values,,Brandenburg,code12,3.0
2017,Hectre per day,Calculated annual values,,Brandenburg,code12,1.0
2018,Hectre per day,Calculated annual values,,Brandenburg,code12,2.0
2019,Hectre per day,Calculated annual values,,Brandenburg,code12,1.0
2020,Hectre per day,Calculated annual values,,Brandenburg,code12,8.0
2021,Hectre per day,Calculated annual values,,Brandenburg,code12,6.0
1996,Hectre per day,Calculated annual values,,Bremen,code04,0.1
1997,Hectre per day,Calculated annual values,,Bremen,code04,0.5
1998,Hectre per day,Calculated annual values,,Bremen,code04,0.5
1999,Hectre per day,Calculated annual values,,Bremen,code04,0.5
2000,Hectre per day,Calculated annual values,,Bremen,code04,1.0
2001,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2002,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2003,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2004,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2005,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2006,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2007,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2008,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2009,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2010,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2011,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2012,Hectre per day,Calculated annual values,,Bremen,code04,1.0
2013,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2014,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2015,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2016,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2017,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2018,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2019,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2020,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2021,Hectre per day,Calculated annual values,,Bremen,code04,0.0
1996,Hectre per day,Calculated annual values,,Hamburg,code02,0.4
1997,Hectre per day,Calculated annual values,,Hamburg,code02,0.2
1998,Hectre per day,Calculated annual values,,Hamburg,code02,0.2
1999,Hectre per day,Calculated annual values,,Hamburg,code02,0.2
2000,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2001,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2002,Hectre per day,Calculated annual values,,Hamburg,code02,1.0
2003,Hectre per day,Calculated annual values,,Hamburg,code02,1.0
2004,Hectre per day,Calculated annual values,,Hamburg,code02,1.0
2005,Hectre per day,Calculated annual values,,Hamburg,code02,1.0
2006,Hectre per day,Calculated annual values,,Hamburg,code02,1.0
2007,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2008,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2009,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2010,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2011,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2012,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2013,Hectre per day,Calculated annual values,,Hamburg,code02,1.0
2014,Hectre per day,Calculated annual values,,Hamburg,code02,-1.0
2015,Hectre per day,Calculated annual values,,Hamburg,code02,-1.0
2016,Hectre per day,Calculated annual values,,Hamburg,code02,-1.0
2017,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2018,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2019,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2020,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2021,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
1996,Hectre per day,Calculated annual values,,Hesse,code06,4.5
1997,Hectre per day,Calculated annual values,,Hesse,code06,4.9
1998,Hectre per day,Calculated annual values,,Hesse,code06,4.9
1999,Hectre per day,Calculated annual values,,Hesse,code06,4.9
2000,Hectre per day,Calculated annual values,,Hesse,code06,5.0
2001,Hectre per day,Calculated annual values,,Hesse,code06,3.0
2002,Hectre per day,Calculated annual values,,Hesse,code06,5.0
2003,Hectre per day,Calculated annual values,,Hesse,code06,4.0
2004,Hectre per day,Calculated annual values,,Hesse,code06,4.0
2005,Hectre per day,Calculated annual values,,Hesse,code06,4.0
2006,Hectre per day,Calculated annual values,,Hesse,code06,3.0
2007,Hectre per day,Calculated annual values,,Hesse,code06,4.0
2008,Hectre per day,Calculated annual values,,Hesse,code06,3.0
2009,Hectre per day,Calculated annual values,,Hesse,code06,4.0
2010,Hectre per day,Calculated annual values,,Hesse,code06,4.0
2011,Hectre per day,Calculated annual values,,Hesse,code06,1.0
2012,Hectre per day,Calculated annual values,,Hesse,code06,4.0
2013,Hectre per day,Calculated annual values,,Hesse,code06,2.0
2014,Hectre per day,Calculated annual values,,Hesse,code06,4.0
2015,Hectre per day,Calculated annual values,,Hesse,code06,3.0
2017,Hectre per day,Calculated annual values,,Hesse,code06,4.0
2018,Hectre per day,Calculated annual values,,Hesse,code06,3.0
2019,Hectre per day,Calculated annual values,,Hesse,code06,3.0
2020,Hectre per day,Calculated annual values,,Hesse,code06,2.0
2021,Hectre per day,Calculated annual values,,Hesse,code06,1.0
1996,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,5.3
1997,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,7.6
1998,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,7.6
1999,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,7.6
2000,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,8.0
2001,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,7.0
2002,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,11.0
2003,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,9.0
2004,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,8.0
2005,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,7.0
2006,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,7.0
2007,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,7.0
2008,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,11.0
2009,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,8.0
2010,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,7.0
2011,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,3.0
2012,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,3.0
2013,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,2.0
2014,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,2.0
2015,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,5.0
2016,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,18.0
2017,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,-8.0
2018,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,1.0
2019,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,-1.0
2020,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,1.0
2021,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,1.0
1996,Hectre per day,Calculated annual values,,Lower Saxony,code03,16.6
1997,Hectre per day,Calculated annual values,,Lower Saxony,code03,16.4
1998,Hectre per day,Calculated annual values,,Lower Saxony,code03,16.4
1999,Hectre per day,Calculated annual values,,Lower Saxony,code03,16.4
2000,Hectre per day,Calculated annual values,,Lower Saxony,code03,16.0
2001,Hectre per day,Calculated annual values,,Lower Saxony,code03,15.0
2002,Hectre per day,Calculated annual values,,Lower Saxony,code03,12.0
2003,Hectre per day,Calculated annual values,,Lower Saxony,code03,13.0
2004,Hectre per day,Calculated annual values,,Lower Saxony,code03,18.0
2005,Hectre per day,Calculated annual values,,Lower Saxony,code03,14.0
2006,Hectre per day,Calculated annual values,,Lower Saxony,code03,12.0
2007,Hectre per day,Calculated annual values,,Lower Saxony,code03,10.0
2008,Hectre per day,Calculated annual values,,Lower Saxony,code03,11.0
2009,Hectre per day,Calculated annual values,,Lower Saxony,code03,9.0
2010,Hectre per day,Calculated annual values,,Lower Saxony,code03,8.0
2011,Hectre per day,Calculated annual values,,Lower Saxony,code03,15.0
2012,Hectre per day,Calculated annual values,,Lower Saxony,code03,10.0
2013,Hectre per day,Calculated annual values,,Lower Saxony,code03,9.0
2014,Hectre per day,Calculated annual values,,Lower Saxony,code03,10.0
2015,Hectre per day,Calculated annual values,,Lower Saxony,code03,10.0
2016,Hectre per day,Calculated annual values,,Lower Saxony,code03,1.0
2017,Hectre per day,Calculated annual values,,Lower Saxony,code03,7.0
2018,Hectre per day,Calculated annual values,,Lower Saxony,code03,7.0
2019,Hectre per day,Calculated annual values,,Lower Saxony,code03,6.0
2020,Hectre per day,Calculated annual values,,Lower Saxony,code03,7.0
2021,Hectre per day,Calculated annual values,,Lower Saxony,code03,6.0
1996,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,15.8
1997,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,16.5
1998,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,16.5
1999,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,16.5
2000,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,17.0
2001,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,16.0
2002,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,16.0
2003,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,9.0
2004,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,20.0
2005,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,13.0
2006,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,14.0
2007,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,14.0
2008,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,15.0
2009,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,9.0
2010,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,12.0
2011,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,10.0
2012,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,10.0
2013,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,9.0
2014,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,9.0
2015,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,9.0
2017,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,6.0
2018,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,5.0
2019,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,8.0
2020,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,6.0
2021,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,5.0
1996,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,5.0
1997,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,5.4
1998,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,5.4
1999,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,5.4
2000,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,5.0
2001,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,5.0
2002,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,5.0
2003,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,4.0
2004,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,8.0
2005,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,8.0
2006,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,5.0
2007,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,5.0
2008,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,3.0
2009,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,1.0
2010,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,1.0
2011,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,1.0
2012,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,2.0
2013,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,1.0
2014,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,1.0
2015,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,-1.0
2016,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,2.0
2017,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,0.0
2018,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,2.0
2019,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,2.0
2020,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,5.0
2021,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,9.0
1996,Hectre per day,Calculated annual values,,Saarland,code10,0.6
1997,Hectre per day,Calculated annual values,,Saarland,code10,0.7
1998,Hectre per day,Calculated annual values,,Saarland,code10,0.7
1999,Hectre per day,Calculated annual values,,Saarland,code10,0.7
2000,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2001,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2002,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2003,Hectre per day,Calculated annual values,,Saarland,code10,0.0
2004,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2005,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2006,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2007,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2008,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2009,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2010,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2011,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2012,Hectre per day,Calculated annual values,,Saarland,code10,0.0
2013,Hectre per day,Calculated annual values,,Saarland,code10,0.0
2014,Hectre per day,Calculated annual values,,Saarland,code10,0.0
2015,Hectre per day,Calculated annual values,,Saarland,code10,0.0
2016,Hectre per day,Calculated annual values,,Saarland,code10,3.0
2017,Hectre per day,Calculated annual values,,Saarland,code10,0.0
2018,Hectre per day,Calculated annual values,,Saarland,code10,0.0
2019,Hectre per day,Calculated annual values,,Saarland,code10,0.0
2020,Hectre per day,Calculated annual values,,Saarland,code10,0.0
2021,Hectre per day,Calculated annual values,,Saarland,code10,1.0
1996,Hectre per day,Calculated annual values,,Saxony,code14,8.8
1997,Hectre per day,Calculated annual values,,Saxony,code14,8.2
1998,Hectre per day,Calculated annual values,,Saxony,code14,8.2
1999,Hectre per day,Calculated annual values,,Saxony,code14,8.2
2000,Hectre per day,Calculated annual values,,Saxony,code14,8.0
2001,Hectre per day,Calculated annual values,,Saxony,code14,8.0
2002,Hectre per day,Calculated annual values,,Saxony,code14,6.0
2003,Hectre per day,Calculated annual values,,Saxony,code14,4.0
2004,Hectre per day,Calculated annual values,,Saxony,code14,3.0
2005,Hectre per day,Calculated annual values,,Saxony,code14,3.0
2006,Hectre per day,Calculated annual values,,Saxony,code14,5.0
2007,Hectre per day,Calculated annual values,,Saxony,code14,11.0
2008,Hectre per day,Calculated annual values,,Saxony,code14,7.0
2009,Hectre per day,Calculated annual values,,Saxony,code14,10.0
2010,Hectre per day,Calculated annual values,,Saxony,code14,7.0
2011,Hectre per day,Calculated annual values,,Saxony,code14,6.0
2012,Hectre per day,Calculated annual values,,Saxony,code14,6.0
2013,Hectre per day,Calculated annual values,,Saxony,code14,3.0
2016,Hectre per day,Calculated annual values,,Saxony,code14,3.0
2017,Hectre per day,Calculated annual values,,Saxony,code14,5.0
2018,Hectre per day,Calculated annual values,,Saxony,code14,5.0
2019,Hectre per day,Calculated annual values,,Saxony,code14,5.0
2020,Hectre per day,Calculated annual values,,Saxony,code14,6.0
2021,Hectre per day,Calculated annual values,,Saxony,code14,6.0
1996,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,9.2
1997,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,9.9
1998,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,9.9
1999,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,9.9
2000,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,10.0
2001,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,11.0
2002,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,4.0
2003,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,9.0
2004,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,27.0
2005,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,25.0
2006,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,12.0
2007,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,1.0
2008,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,3.0
2009,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,0.0
2010,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,-2.0
2011,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,-1.0
2012,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,0.0
2013,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,0.0
2014,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,2.0
2015,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,1.0
2016,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,2.0
2017,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,1.0
2018,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,0.0
2019,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,2.0
2020,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,1.0
2021,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,1.0
1996,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,3.3
1997,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,4.1
1998,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,4.1
1999,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,4.1
2000,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,4.0
2005,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,5.0
2006,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,7.0
2007,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,7.0
2008,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,3.0
2009,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,3.0
2010,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,3.0
2011,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,5.0
2012,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,2.0
2013,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,3.0
2014,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,3.0
2015,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,3.0
2016,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,1.0
2017,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,3.0
2018,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,3.0
2019,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,2.0
2020,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,6.0
2021,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,4.0
1996,Hectre per day,Calculated annual values,,Thuringia,code16,6.1
1997,Hectre per day,Calculated annual values,,Thuringia,code16,3.6
1998,Hectre per day,Calculated annual values,,Thuringia,code16,3.6
1999,Hectre per day,Calculated annual values,,Thuringia,code16,3.6
2000,Hectre per day,Calculated annual values,,Thuringia,code16,4.0
2001,Hectre per day,Calculated annual values,,Thuringia,code16,2.0
2002,Hectre per day,Calculated annual values,,Thuringia,code16,4.0
2003,Hectre per day,Calculated annual values,,Thuringia,code16,2.0
2004,Hectre per day,Calculated annual values,,Thuringia,code16,1.0
2005,Hectre per day,Calculated annual values,,Thuringia,code16,2.0
2006,Hectre per day,Calculated annual values,,Thuringia,code16,2.0
2007,Hectre per day,Calculated annual values,,Thuringia,code16,2.0
2008,Hectre per day,Calculated annual values,,Thuringia,code16,3.0
2009,Hectre per day,Calculated annual values,,Thuringia,code16,3.0
2010,Hectre per day,Calculated annual values,,Thuringia,code16,4.0
2011,Hectre per day,Calculated annual values,,Thuringia,code16,5.0
2012,Hectre per day,Calculated annual values,,Thuringia,code16,5.0
2013,Hectre per day,Calculated annual values,,Thuringia,code16,3.0
2014,Hectre per day,Calculated annual values,,Thuringia,code16,8.0
2015,Hectre per day,Calculated annual values,,Thuringia,code16,3.0
2016,Hectre per day,Calculated annual values,,Thuringia,code16,9.0
2019,Hectre per day,Calculated annual values,,Thuringia,code16,2.0
2020,Hectre per day,Calculated annual values,,Thuringia,code16,1.0
2021,Hectre per day,Calculated annual values,,Thuringia,code16,1.0
